,ARMA,ELM,ARMA+ELM,MLP,ARMA+MLP,ESN,ARMA+ESN,RBF,ARMA+RBF,ACTUAL
2019-02-20 02:00:00,2.0225244899540726,2.8804043944514524,2.384831347832182,2.653536,2.233293666437227,2.6291618280696962,2.275886451331198,3.248101,2.4576808353215043,0.543
2019-02-20 03:00:00,1.8739889567940982,2.838264033600459,2.3767086034467217,2.1693714,2.2522433703988343,2.2412242440208656,2.133040138870917,3.2216837,3.1222127383797913,0.005
2019-02-20 04:00:00,1.4626155723883851,1.6506686834194906,1.9436845165472096,1.7410794,1.8883200516059144,1.5675690295276439,1.54621033242553,3.0365627,2.730775438721393,0.004
2019-02-20 05:00:00,0.9960479636922355,1.955367455563801,1.5563713783365982,1.7576668,1.4856066604390616,1.4964107017383752,1.3593659907139692,3.203422,2.2048993011250966,2.431
2019-02-20 06:00:00,1.9625244795964307,3.0888219198553015,2.3457783438212183,2.88,2.3394652068303174,2.8292097663970885,2.2275102884777565,3.2721994,2.8014169394658155,0.958
2019-02-20 07:00:00,1.6003244039119553,2.574127578232713,1.9619759622880324,2.2730513,1.8469460126460862,2.3784864702988964,1.7974674078625672,3.1265244,1.9067890760005783,0.612
2019-02-20 08:00:00,1.4422057639237276,1.893509093870898,1.862878034536018,2.0472453,1.7697666655655733,1.9733616068691322,1.5604098158232491,2.5762703,2.1220139037247527,1.171
2019-02-20 09:00:00,1.7184829776025667,2.6889958104979375,2.6061821976489865,2.456243,2.2854642932153597,2.2409625359186336,2.521539574592846,3.1534717,2.8853082720971956,2.182
2019-02-20 10:00:00,2.4244280660520445,3.984783627316081,2.8568185380723836,3.1877131,2.8111511075864684,3.053123816022428,2.7827239007112574,3.349551,3.464055141247357,3.166
2019-02-20 11:00:00,3.340407931141075,4.564883551079265,3.827830519155604,3.8155808,3.6552754276315533,3.6713659497942084,3.6389317600032753,3.4629455,4.086997591785606,3.951
