Data;Hora UTC;VENTO, VELOCIDADE HORARIA (m/s)
29/01/2020;1000 UTC;,7
29/01/2020;1100 UTC;2,9
29/01/2020;1200 UTC;2,9
29/01/2020;1300 UTC;4,1
29/01/2020;1400 UTC;4
29/01/2020;1500 UTC;3,8
29/01/2020;1600 UTC;4,5
29/01/2020;1700 UTC;5,2
29/01/2020;1800 UTC;4,8
29/01/2020;1900 UTC;4,4
29/01/2020;2000 UTC;4,5
29/01/2020;2100 UTC;3,4
29/01/2020;2200 UTC;3
29/01/2020;2300 UTC;2,9
30/01/2020;0000 UTC;2
30/01/2020;0100 UTC;1,6
30/01/2020;0200 UTC;1,7
30/01/2020;0300 UTC;1,8
30/01/2020;0400 UTC;,9
30/01/2020;0500 UTC;2
30/01/2020;0600 UTC;,9
30/01/2020;0700 UTC;,7
30/01/2020;0800 UTC;,8
30/01/2020;0900 UTC;1,4
30/01/2020;1000 UTC;,7
30/01/2020;1100 UTC;2,9
30/01/2020;1200 UTC;3,1
30/01/2020;1300 UTC;1
30/01/2020;1400 UTC;3,2
30/01/2020;1500 UTC;4,3
30/01/2020;1600 UTC;3,7
30/01/2020;1700 UTC;4,8
30/01/2020;1800 UTC;3,6
30/01/2020;1900 UTC;2,8
30/01/2020;2000 UTC;3
30/01/2020;2100 UTC;3,5
30/01/2020;2200 UTC;2,6
30/01/2020;2300 UTC;1,9
31/01/2020;0000 UTC;1
31/01/2020;0100 UTC;,3
31/01/2020;0200 UTC;,4
31/01/2020;0300 UTC;,5
31/01/2020;0400 UTC;,7
31/01/2020;0500 UTC;,5
31/01/2020;0600 UTC;,4
31/01/2020;0700 UTC;,6
31/01/2020;0800 UTC;1
31/01/2020;0900 UTC;,8
31/01/2020;1000 UTC;,9
31/01/2020;1100 UTC;1,4
31/01/2020;1200 UTC;2,4
31/01/2020;1300 UTC;3,7
31/01/2020;1400 UTC;3,1
31/01/2020;1500 UTC;4,4
31/01/2020;1600 UTC;3,9
31/01/2020;1700 UTC;4,5
31/01/2020;1800 UTC;5,4
31/01/2020;1900 UTC;5,3
31/01/2020;2000 UTC;4,8
31/01/2020;2100 UTC;4,3
31/01/2020;2200 UTC;3,3
31/01/2020;2300 UTC;2,7
01/02/2020;0000 UTC;3,2
01/02/2020;0100 UTC;2,7
01/02/2020;0200 UTC;2,9
01/02/2020;0300 UTC;2,3
01/02/2020;0400 UTC;1,4
01/02/2020;0500 UTC;,5
01/02/2020;0600 UTC;1,4
01/02/2020;0700 UTC;,6
01/02/2020;0800 UTC;1
01/02/2020;0900 UTC;,7
01/02/2020;1000 UTC;1,5
01/02/2020;1100 UTC;1,9
01/02/2020;1200 UTC;2,3
01/02/2020;1300 UTC;2,3
01/02/2020;1400 UTC;3,1
01/02/2020;1500 UTC;4,3
01/02/2020;1600 UTC;4,5
01/02/2020;1700 UTC;5
01/02/2020;1800 UTC;5,1
01/02/2020;1900 UTC;4,5
01/02/2020;2000 UTC;4,1
01/02/2020;2100 UTC;3,9
01/02/2020;2200 UTC;3
01/02/2020;2300 UTC;2,3
02/02/2020;0000 UTC;1,5
02/02/2020;0100 UTC;1,2
02/02/2020;0200 UTC;1,6
02/02/2020;0300 UTC;1,7
02/02/2020;0400 UTC;2,2
02/02/2020;0500 UTC;1,3
02/02/2020;0600 UTC;1,7
02/02/2020;0700 UTC;,9
02/02/2020;0800 UTC;,8
02/02/2020;0900 UTC;,2
